D_median,D_mean,D_sd,frac_D_pos,frac_D_neg15,pi_bp_mean,thetaW_bp_mean,R,singleton_pct,doubleton_pct,r2_1kb_mean,T_generations,post_decline_fraction
0.0829038060699154,0.0619482064451131,0.4917097242524373,0.552,0.0,0.0023938218181818,0.0023349852234672,1.025197844561609,0.1815354327452002,0.0944073586950227,0.1176706190480958,3253,0.8574924208726179
1.0662107740653026,1.0457056604081951,0.7040304046431674,0.919,0.002,0.0020318328080808,0.0015296354134922,1.3283118252617152,0.100347244144201,0.0567333796325525,0.2412237414414532,5107,0.2526864709915326
0.0339829083340495,0.0216531415484868,0.4779316341838069,0.532,0.001,0.0024160695555555,0.0023877918807118,1.0118426044883226,0.1830859453993933,0.097391304347826,0.1145263217493735,1229,0.8361981008566357
0.0349058915506717,0.0231584517518276,0.5004767889398029,0.527,0.002,0.0024259832121212,0.0023958847809991,1.012562553658985,0.1860952565218793,0.0981990261520105,0.1166886458897264,508,0.7891055765444897
0.5650443412336035,0.5573181253446235,0.572577913417816,0.826,0.0,0.002255544080808,0.0019166846470419,1.17679456779137,0.1342584194933188,0.0758812503778946,0.1673524986837973,5445,0.4711414575593486
0.5297450654778803,0.5138278873729126,0.5332368361250193,0.84,0.0,0.0023412183232323,0.0020147458755828,1.1620415019114918,0.1188561129698689,0.0753132459663889,0.1585122846682769,1239,0.300583050890696
0.2446455448597494,0.2361496450224278,0.5251112913336378,0.668,0.003,0.0023596044646464,0.0021905298505584,1.07718434608178,0.1475769759813776,0.0861989912883998,0.1360692096030268,1073,0.4505686752943819
0.2898492270399874,0.2813308434635174,0.5395006407364255,0.719,0.001,0.0023781974545454,0.0021776082508157,1.092114457985987,0.1503153189111519,0.0866306555617643,0.1354921956809066,2267,0.5481476168670432
0.1980469854826889,0.1777565863331997,0.5356749885582653,0.641,0.001,0.002328463090909,0.0021974831777743,1.0596045123164213,0.1749551735049045,0.0907340997785043,0.1323188913218087,9866,0.7633957272923777
0.0182471335455465,0.0301532303542434,0.4752190896166246,0.521,0.001,0.0024205035555555,0.0023847015130603,1.015013217502944,0.1856558538857166,0.0960920098813429,0.1162192818307257,3224,0.9400641329136964
0.629343369339435,0.6350476372131822,0.5401665401678745,0.873,0.0,0.0022908981616161,0.0019122036139473,1.198040912017278,0.0981293307205915,0.0755035251813094,0.1723957143251781,953,0.1941908304720601
1.6890958370982694,1.547674608673439,1.1297517809209103,0.9,0.012,0.0016556976363636,0.0011115086702473,1.4895948908749632,0.0649729786087893,0.0462057101152101,0.4033059085998198,3133,0.089547807165245
0.0588837797033966,0.0731712666542907,0.4992727463600321,0.551,0.001,0.0023831585858585,0.0023193788668272,1.027498620403727,0.1686666722183822,0.0984152627765795,0.1214070551769093,556,0.5133999382442332
0.0125056655533658,0.0001025789461357,0.4762517745530507,0.513,0.001,0.002370481090909,0.0023549760392127,1.0065839530586234,0.1829388317504059,0.0979856634351984,0.1161734179597845,2021,0.875450995873567
0.4192739951431066,0.3970392642404548,0.5410932996131591,0.766,0.0,0.002358303050505,0.0020889533288139,1.1289400380447872,0.1415402254213937,0.0806727506402966,0.1474482972413736,3293,0.5127058819395625
0.7450473431152236,0.736206182996388,0.5962801303697919,0.895,0.0,0.002276855030303,0.0018523856850933,1.2291473901064165,0.1075334966894322,0.0695062822584849,0.1861993395475787,2215,0.2727634298245977
0.3960128008546786,0.39858892497787,0.5356171688785856,0.766,0.0,0.0023831506262626,0.0021144874915343,1.127058275730615,0.1266955926010504,0.0845489837862525,0.1452335724308223,518,0.2231619295867795
1.097038380638879,1.0617715977975712,0.7079575969602749,0.922,0.001,0.0020677543434343,0.0015523303009327,1.3320324561028554,0.0917755381361204,0.0589025755879059,0.2448804195696253,3975,0.2305460515882956
1.8276888062937355,1.7847918523834696,0.8799896514010687,0.965,0.001,0.0018608915353535,0.001194639560072,1.557701249439018,0.0552295031608219,0.0388029296211864,0.3698817246947073,1513,0.0533608178468683
1.4703005665082214,1.403532159179134,0.8265648124934576,0.945,0.001,0.0018738876969696,0.0012995961714353,1.4418999825923156,0.085784350152337,0.0465482648435758,0.309395338543294,6010,0.1890149729552958
0.0401987899874219,0.0427620878520319,0.4985506068417717,0.532,0.0,0.0024288918989898,0.0023834846807976,1.0190507698908695,0.1826226479311518,0.0962139997730993,0.1181072372784941,1115,0.8422989385827457
0.0717012759298266,0.0831581938883536,0.5163327086263944,0.554,0.0,0.0023816754545454,0.0023091033943861,1.0314286750154964,0.1754146765815426,0.0937758780771386,0.1217527303694079,2303,0.8124352217292824
0.1884159624937142,0.1967307381284946,0.5103364625024316,0.651,0.0,0.0024051793737373,0.0022543652573593,1.0668987050282668,0.1688271631381889,0.0882733449283309,0.1286188585610962,3398,0.7175938526256714
0.0809262121850737,0.0902157737122525,0.4822072023920319,0.557,0.0,0.0023772163838383,0.0023011456976835,1.0330577443363975,0.1743257875254954,0.0929250707157186,0.1204938068615376,658,0.5370294392388398
0.0546231435160469,0.059338592771181,0.4983656288210034,0.547,0.001,0.0024256534141414,0.0023708528030221,1.02311430344784,0.1828868902140971,0.0963926092482158,0.1192756688947634,2289,0.8342054390235926
0.192947360780096,0.1788481093424788,0.5148225806147243,0.641,0.001,0.0024173633131313,0.0022808458451729,1.0598538775635873,0.1582379242598739,0.0892808752794526,0.1281370220195324,1476,0.5883656604864917
0.2002039131576491,0.1887411160182776,0.5142610529234295,0.646,0.0,0.0023863906464646,0.0022466586530284,1.0621954711490516,0.151395312849258,0.092857511305215,0.127875260474995,597,0.3988686209996558
